dataset,target_size,fold,algorithm,repeat,time,oa,aa,k,selected_features
indian_pines,25,0,zhang,0,95.334988,0.8071818891491023,0.8196927237730082,0.7803364131722341,5-7-39-46-52-57-60-67-70-76-91-107-125-131-139-148-155-158-160-165-166-168-172-176-198
indian_pines,25,1,zhang,0,86.388408,0.8009367681498829,0.8030265803971709,0.7739841898600612,14-44-46-57-60-67-68-74-76-104-107-110-124-129-131-138-148-155-160-162-164-165-171-172-175
indian_pines,25,2,zhang,0,92.978699,0.78064012490242,0.8156842181775708,0.7504585387868441,7-13-44-45-54-60-67-70-74-75-76-107-110-132-138-139-160-162-166-169-171-175-176-187-191
indian_pines,25,3,zhang,0,89.262377,0.7950819672131147,0.7797402043596278,0.7666822899880414,5-7-13-44-57-60-67-74-76-107-110-124-131-139-148-155-158-160-164-168-172-174-176-192-198
indian_pines,25,4,zhang,0,89.939578,0.7861046057767369,0.7600386950918023,0.7563706942252447,5-7-13-14-46-67-74-76-107-110-139-148-158-160-162-164-166-169-171-172-175-176-188-192-198
indian_pines,25,5,zhang,0,91.707902,0.8064012490241999,0.8324409296657999,0.7802150818828331,5-7-13-39-44-57-67-68-70-76-107-131-139-148-155-160-162-165-166-172-175-187-188-192-198
indian_pines,25,6,zhang,0,91.493077,0.7903981264637002,0.8109552875760604,0.761945720688336,5-7-13-19-52-60-67-74-75-76-77-91-107-129-135-139-148-155-160-162-166-168-172-176-198
indian_pines,25,7,zhang,0,90.816949,0.8032786885245902,0.7610214083753207,0.7766919469932875,5-7-19-39-44-60-70-74-75-76-107-124-148-158-160-162-164-166-172-175-176-188-191-192-198
indian_pines,25,8,zhang,0,91.821978,0.7868852459016393,0.785691397516669,0.7560628032971103,7-13-44-54-60-67-76-91-107-110-131-139-148-155-160-162-165-166-168-171-172-175-176-188-198
indian_pines,25,9,zhang,0,92.640716,0.7861046057767369,0.7879605243110891,0.7562536165446206,5-7-13-46-52-57-60-67-75-76-107-110-131-139-148-160-162-164-166-172-175-176-188-192-198
indian_pines,30,0,zhang,0,95.334988,0.8056206088992974,0.8172083917144545,0.7789400531461741,5-7-39-44-45-46-52-57-60-67-70-76-91-104-107-122-124-125-131-139-148-155-158-160-165-166-168-172-176-198
indian_pines,30,1,zhang,0,86.388408,0.7943013270882123,0.7991842454571565,0.7665996288893753,7-14-44-46-57-60-67-68-74-76-104-107-110-124-129-131-138-148-155-160-162-164-165-171-172-175-176-188-191-198
indian_pines,30,2,zhang,0,92.978699,0.7861046057767369,0.8154270472167657,0.7566877777710384,7-13-44-45-54-57-60-67-70-74-75-76-77-107-110-132-138-139-160-162-164-166-169-171-175-176-187-188-191-192
indian_pines,30,3,zhang,0,89.262377,0.8083528493364559,0.8004586807541519,0.7816886278133182,5-7-13-44-50-57-60-67-74-76-107-110-124-131-139-148-155-158-160-162-164-165-168-172-174-175-176-188-192-198
indian_pines,30,4,zhang,0,89.939578,0.8138173302107728,0.7984111888420486,0.7877687159464959,5-7-13-14-39-46-57-67-70-74-76-107-110-122-131-139-148-158-160-162-164-166-169-171-172-175-176-188-192-198
indian_pines,30,5,zhang,0,91.707902,0.7939110070257611,0.8338632254263387,0.7656390656997031,5-7-13-39-40-44-46-57-67-68-70-74-76-104-107-131-139-148-155-160-162-165-166-172-175-176-187-188-192-198
indian_pines,30,6,zhang,0,91.493077,0.810304449648712,0.8375062621517204,0.7845563898039706,5-7-13-19-27-45-52-57-60-67-74-75-76-77-91-101-104-107-129-135-139-148-155-160-162-166-168-172-176-198
indian_pines,30,7,zhang,0,90.816949,0.8052302888368462,0.7718218768354279,0.7791042723322847,5-7-19-39-44-46-57-60-70-74-75-76-104-107-124-129-135-148-158-160-162-164-166-172-175-176-188-191-192-198
indian_pines,30,8,zhang,0,91.821978,0.7915690866510539,0.771070150339766,0.7615997900570912,5-7-13-44-45-54-57-60-67-74-76-91-107-110-122-131-139-148-155-160-162-165-166-168-171-172-175-176-188-198
indian_pines,30,9,zhang,0,92.640716,0.8075722092115535,0.8172298935232343,0.7806151382929554,5-7-13-14-46-52-57-60-67-70-75-76-107-110-131-139-148-160-162-164-165-166-168-172-175-176-188-191-192-198
indian_pines,5,0,zhang,0,95.334988,0.6100702576112412,0.4780425201607421,0.5450391894373299,67-76-125-131-139
indian_pines,5,1,zhang,0,86.388408,0.650663544106167,0.613952419290582,0.5941380750768185,14-44-46-57-60
indian_pines,5,2,zhang,0,92.978699,0.6272443403590945,0.6189938119118753,0.5644180473005138,7-13-44-45-54
indian_pines,5,3,zhang,0,89.262377,0.6705698672911787,0.5865011975860863,0.6187092603623229,7-13-44-60-74
indian_pines,5,4,zhang,0,89.939578,0.5967993754879001,0.49969458247957255,0.5287339108564892,5-7-13-14-46
indian_pines,5,5,zhang,0,91.707902,0.6619828259172521,0.5863375504587179,0.6117317731848786,131-148-162-166-198
indian_pines,5,6,zhang,0,91.493077,0.6791569086651054,0.6139795456490904,0.6310267320971759,60-139-148-162-166
indian_pines,5,7,zhang,0,90.816949,0.6049960967993755,0.4846128305252343,0.5415596925936457,5-7-19-39-44
indian_pines,5,8,zhang,0,91.821978,0.6830601092896175,0.6469288153309084,0.6326971216337756,13-54-110-166-168
indian_pines,5,9,zhang,0,92.640716,0.650663544106167,0.6002168534242474,0.5911794942014272,52-60-67-160-164
indian_pines,10,0,zhang,0,95.334988,0.7451209992193599,0.7203720223106906,0.7082248832366556,60-67-70-76-125-131-139-148-155-158
indian_pines,10,1,zhang,0,86.388408,0.6775956284153005,0.6777400320461686,0.6299232674851608,14-44-46-57-60-67-68-74-76-104
indian_pines,10,2,zhang,0,92.978699,0.7049180327868853,0.7182686123762124,0.6613812188599174,7-13-44-45-54-60-70-75-76-107
indian_pines,10,3,zhang,0,89.262377,0.8044496487119438,0.8078900269273039,0.777185563432909,7-13-44-60-74-76-110-131-139-160
indian_pines,10,4,zhang,0,89.939578,0.7431693989071039,0.7124850374976538,0.706217032551467,5-7-13-14-46-67-74-107-110-139
indian_pines,10,5,zhang,0,91.707902,0.7494145199063232,0.7498025128610912,0.7136847162529831,39-68-131-148-155-160-162-166-175-198
indian_pines,10,6,zhang,0,91.493077,0.7599531615925058,0.77963566514206,0.7271728487090046,19-60-67-135-139-148-155-162-166-198
indian_pines,10,7,zhang,0,90.816949,0.7712724434035909,0.7183413948837492,0.7386934183578364,5-7-19-39-44-60-70-74-107-124
indian_pines,10,8,zhang,0,91.821978,0.7314597970335676,0.7078717674245858,0.6918506293994809,13-54-110-139-155-166-168-171-175-198
indian_pines,10,9,zhang,0,92.640716,0.7310694769711163,0.7044226593692431,0.690560020699241,52-60-67-75-76-131-160-164-176-192
indian_pines,15,0,zhang,0,95.334988,0.7911787665886026,0.8068350454700153,0.7615618173259479,7-39-57-60-67-70-76-125-131-139-148-155-158-166-172
indian_pines,15,1,zhang,0,86.388408,0.7517564402810304,0.7183058315815878,0.7169068642917007,14-44-46-57-60-67-68-74-76-104-107-110-124-129-131
indian_pines,15,2,zhang,0,92.978699,0.7837626854020296,0.809551050407151,0.7532007783658664,7-13-44-45-54-60-70-75-76-107-110-132-138-139-160
indian_pines,15,3,zhang,0,89.262377,0.7993754879000781,0.8116221239858037,0.7716931060530277,7-13-44-60-74-76-107-110-131-139-160-168-172-174-176
indian_pines,15,4,zhang,0,89.939578,0.7845433255269321,0.751748015664551,0.7540685299314144,5-7-13-14-46-67-74-107-110-139-158-160-162-164-166
indian_pines,15,5,zhang,0,91.707902,0.7841530054644809,0.7848085184510829,0.7544087854850137,7-39-68-76-131-139-148-155-160-162-166-175-187-192-198
indian_pines,15,6,zhang,0,91.493077,0.7525370804059328,0.7855674228232548,0.7190245704823126,19-60-67-74-76-91-107-135-139-148-155-160-162-166-198
indian_pines,15,7,zhang,0,90.816949,0.8110850897736144,0.7689458886819975,0.7847580148915247,5-7-19-39-44-60-70-74-107-124-148-158-160-162-164
indian_pines,15,8,zhang,0,91.821978,0.7501951600312255,0.7561478024425884,0.7140694308644513,13-54-60-67-110-131-139-155-166-168-171-172-175-188-198
indian_pines,15,9,zhang,0,92.640716,0.7857142857142857,0.759355824096807,0.7554353949581235,7-46-52-60-67-75-76-107-131-148-160-164-176-188-192
indian_pines,20,0,zhang,0,95.334988,0.7798594847775175,0.7903414475831931,0.7489252633867066,7-39-57-60-67-70-76-107-125-131-139-148-155-158-160-166-168-172-176-198
indian_pines,20,1,zhang,0,86.388408,0.7743950039032006,0.7864124080735739,0.7440499719564543,14-44-46-57-60-67-68-74-76-104-107-110-124-129-131-138-148-155-160-162
indian_pines,20,2,zhang,0,92.978699,0.8056206088992974,0.8128205523122689,0.7783199851967297,7-13-44-45-54-60-70-75-76-107-110-132-138-139-160-162-169-171-175-176
indian_pines,20,3,zhang,0,89.262377,0.8064012490241999,0.8143389151071676,0.7796881363266689,7-13-44-60-67-74-76-107-110-131-139-148-155-160-164-168-172-174-176-192
indian_pines,20,4,zhang,0,89.939578,0.7845433255269321,0.7571962622500924,0.754568144797825,5-7-13-14-46-67-74-107-110-139-158-160-162-164-166-172-175-176-188-192
indian_pines,20,5,zhang,0,91.707902,0.7923497267759563,0.8135684132321755,0.7641774610524903,5-7-39-44-57-68-76-107-131-139-148-155-160-162-166-172-175-187-192-198
indian_pines,20,6,zhang,0,91.493077,0.7814207650273224,0.7910680137119717,0.7513740348483935,7-19-60-67-74-76-77-91-107-135-139-148-155-160-162-166-168-172-176-198
indian_pines,20,7,zhang,0,90.816949,0.8083528493364559,0.7724708496099544,0.7822825936080899,5-7-19-39-44-60-70-74-107-124-148-158-160-162-164-166-172-175-176-192
indian_pines,20,8,zhang,0,91.821978,0.7818110850897736,0.7899422680527015,0.7505215910019303,13-44-54-60-67-76-107-110-131-139-148-155-160-166-168-171-172-175-188-198
indian_pines,20,9,zhang,0,92.640716,0.7919594067135051,0.7928009521825657,0.7626306486961552,7-46-52-60-67-75-76-107-110-131-139-148-160-162-164-172-175-176-188-192
